IDs,smiles,clusters
ZINC000215678620,Cc1nc([C@H]2CCC[N@H+](Cc3cnc(-c4ccccn4)nc3)C2)no1,25
ZINC000067843040_1,CC[C@H]1CN(C(=O)c2cc(CN3CCOCC3)on2)CC[N@H+]1C,25
ZINC000012056802_1,CCCO[C@H]1CCC[N@@H+](Cc2nc(-c3ccc(OC)cc3)no2)C1,25
ZINC000095361776,Cc1noc(CN(C)C(=O)CC[C@H]2CCC[N@@H+](C)C2)n1,25
ZINC000046381650,Cc1cc(CN2CCN(C(=O)NCC[N@@H+]3CCC[C@H](C)C3)CC2)on1,25
ZINC000077247343,c1ccc(-c2noc(CCN3CC[NH+](C[C@H]4CCCO4)CC3)n2)cc1,25
ZINC000299756893,Cc1ccc(-c2noc(CNC(=O)C[N@@H+]3C[C@@H]4CC[C@H]3C4)n2)cc1,25
ZINC000053721326,Cc1noc(C)c1CCC(=O)N2CCC[N@@H+](Cc3ccccc3)CC2,25
ZINC000071538856,C[C@H]1Oc2ccc(S(=O)(=O)Nc3ccccc3)cc2NC1=O,26
ZINC000013058938,COc1cc(S(=O)(=O)Nc2ccccc2C)ccc1NC(C)=O,26
ZINC000000863576,COc1ccc(C)cc1S(=O)(=O)Nc2ccncc2,26
ZINC000000193558,COc1ccc(S(=O)(=O)Nc2c(C)cc(O)cc2C)cc1,26
ZINC000047461972,COc1ccc(CNS(=O)(=O)c2c(C)cc(OC)cc2C)cc1,26
ZINC000179643424,COc1ccc(S(=O)(=O)Nc2ccc([N+](=O)[O-])cc2)cc1C,26
ZINC000020461736,COc1ccc(S(=O)(=O)NCc2ccc(F)cc2)cc1C,26
ZINC000016577971,CCC(=O)Nc1cc(S(=O)(=O)NC)ccc1OC,26
ZINC000006730826,COc1ccc(S(=O)(=O)Nc2ccc(C)c(F)c2)cc1,26
ZINC000006152156,COc1ccc(NC(=O)c2ccccc2S(C)(=O)=O)cc1,26
ZINC000095963545,O=C(NCCc1nccs1)c2c(F)c(F)cc(F)c2F,27
ZINC000078917848,O=C1CC[C@@H](C(=O)NCCc2nc(C3CCCCC3)cs2)N1,27
ZINC000040529144,Cc1nc(CCNC(=O)c2scnc2C)cs1,27
ZINC000178812251,Cc1nc(C(=O)NCCOCc2ccccc2)c(C)s1,27
ZINC000016890588,CC(=O)Nc1nc(CC(=O)NC2CCCCC2)cs1,27
ZINC000041538638,Cc1csc(CNC(=O)c2ccccc2)n1,27
ZINC000022835775,O=C(Cc1csc(-c2ccccc2)n1)NC[C@H]3CCCO3,27
ZINC000069457670,Cc1cccc(CCNC(=O)NCc2nc(C)cs2)c1,27
ZINC000012514835,O=C(CCCc1nc2ccccc2s1)NCc3cccnc3,27
ZINC000004599393,C[C@@H](NC(=O)CCC(=O)NCc1cccs1)c2ccccc2,27
ZINC000000973337,Cc1cc(C(=O)O)c2c(ccc3ccccc32)n1,28
ZINC000045038425,COc1ccc(C(=O)c2ccnc(C)c2)cc1,28
ZINC000065347636,O=C(O)c1cc(=O)[nH]cc1-c2c(F)cccc2F,28
ZINC000105833764,Cc1cccc2c1N[C@H](C(=O)O)[C@H]3CC=C[C@@H]23,28
